VPOR ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG EB /r
VPXOR xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG EF /r
VPXOR ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG EF /r
VPADDB xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG FC /r
VPADDB ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG FC /r
VPADDW xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG FD /r
VPADDW ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG FD /r
VPADDD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG FE /r
VPADDD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG FE /r
VPADDQ xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG D4 /r
VPADDQ ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG D4 /r
VPSUBB xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG F8 /r
VPSUBB ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG F8 /r
VPSUBW xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG F9 /r
VPSUBW ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG F9 /r
VPSUBD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG FA /r
VPSUBD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG FA /r
VPSUBQ xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG FB /r
VPSUBQ ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG FB /r
VAESIMC xmm1, xmm2/mem128 | VEX.128.66.0F38.WIG DB /r
VAESENC xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F38.WIG DC /r
VAESENCLAST xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F38.WIG DD /r
VAESDEC xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F38.WIG DE /r
VAESDECLAST xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F38.WIG DF /r
VAESKEYGENASSIST xmm1, xmm2/mem128, imm8 | VEX.128.66.0F3A.WIG DF /r ib
VPCLMULQDQ xmm1, xmm2, xmm3/mem128, imm8 | VEX.NDS.128.66.0F3A.WIG 44 /r ib
